Sample	Unassigned;Other	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Archaea;p__Parvarchaeota	k__Bacteria;Other	k__Bacteria;p__	k__Bacteria;p__AC1	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__AncK6	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BHI80-139	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Caldiserica	k__Bacteria;p__Caldithrix	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__FCPU426	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GAL15	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__GOUTA4	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__KSB3	k__Bacteria;p__LCP-89	k__Bacteria;p__LD1	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVS-104	k__Bacteria;p__NC10	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OD1	k__Bacteria;p__OP1	k__Bacteria;p__OP11	k__Bacteria;p__OP3	k__Bacteria;p__OP8	k__Bacteria;p__PAUC34f	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SBR1093	k__Bacteria;p__SC4	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__TPD-58	k__Bacteria;p__VHS-B3-43	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS1	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS4	k__Bacteria;p__WS5	k__Bacteria;p__WWE1	k__Bacteria;p__Caldithrix
X16SQU352	0.179079825	0.235266037	0.001890377	0.000105021	0.000133663	0.0000573	0.0000764	0.000286421	0.308570665	0.030981182	0	0.000620578	0	0.000229137	0.000973831	0	0	0.0000668	0.003752112	0.005126932	0.000458273	0.002577787	0.0000286	0.0001814	0.000563294	0.012163336	0	0.002320008	0	0	0.00000955	0.002558692	0	0.00000955	0	0.00000955	0	0.004057628	0.0000382	0.011638231	0.0000191	0	0	0.001088399	0	0	0.024488978	0.155297353	0.00000955	0.000219589	0.008649908	0.000496463	0.00000955	0.0000382	0	0.004706848	0.000887904	0.000114568	0	0.0000764	0.0000668	0	0	0
X16SSJ52	0.02503934	0.143417166	0.001407945	0.0000552	0.0000552	0.0000276	0	0.000220854	0.254727659	0.047897745	0	0.000414102	0.0000276	0.0000828	0.001076664	0	0	0.000165641	0	0.000662562	0.001739226	0.002153328	0	0.000193247	0	0.001214698	0	0.001518372	0	0	0	0.000634956	0	0	0	0	0	0.0000552	0	0.002429396	0	0	0	0.002236148	0	0	0.029290782	0.472213787	0	0	0.004665544	0.000717776	0	0	0	0.003257599	0.002346575	0	0	0	0.0000552	0	0	0
X16SSJ152	0.036120659	0.033821429	0.001561593	0.0000314	0.000102014	0	0	0.000156944	0.144066733	0.09153758	0	0.000360971	0	0.0000157	0.000957358	0	0	0.000102014	0.00000785	0.001545898	0.001169233	0.000510068	0.00000785	0.0000392	0.00000785	0.006850605	0	0.001381107	0	0	0	0.000408054	0	0	0	0	0	0.0000863	0	0.00476325	0	0	0	0.000415902	0	0	0.052607624	0.604885666	0	0.0000157	0.005030055	0.00274652	0	0	0	0.001388954	0.006999702	0.0000157	0	0	0.000282499	0	0	0
X16SSJ252	0.05627694	0.078471795	0.001566223	0	0.000214184	0	0	0.0000937	0.183957591	0.040039089	0	0.000508688	0	0.0000803	0.000589007	0	0	0.000455142	0.0000134	0.000856737	0.000843351	0.000321277	0	0.0000134	0	0.00681374	0	0.004163208	0	0	0	0.000214184	0	0	0	0	0	0.000870124	0	0.014604696	0	0	0	0.000294503	0.0000134	0	0.036518433	0.552716125	0	0.0000669	0.009557977	0.001941046	0	0	0	0.004029343	0.003520655	0.0000134	0	0	0.000361436	0	0	0
X16SSJ352	0.043032437	0.08933807	0.006158572	0.0000621	0.000031	0.000031	0	0.000139615	0.337697594	0.005770752	0	0.000899741	0	0.000155128	0.002621659	0	0	0.002109737	0.000139615	0.001194484	0.001877046	0.003180119	0	0.000899741	0.0000931	0.007523696	0	0.002621659	0	0	0	0	0	0	0	0	0	0.002885376	0.000031	0.015714441	0.0000155	0	0	0.00369204	0	0	0.032452725	0.396304857	0	0.000031	0.014116625	0.001690892	0	0	0	0.026821588	0.00055846	0.0000776	0	0	0.000031	0	0	0
X16SSJ552	0.059558168	0.129539898	0.001721079	0	0.000176521	0.00000883	0	0.000053	0.087827998	0.039355345	0	0.000317738	0	0.000053	0.000635475	0	0	0.000132391	0.0000441	0.002285946	0.000653128	0.000220651	0	0.0000177	0.0000177	0.015939842	0	0.001129734	0	0	0	0.000123565	0	0	0	0	0	0.000970865	0	0.007819878	0	0	0	0.0000883	0	0	0.042974025	0.595378682	0	0.0000265	0.006001712	0.003018508	0	0	0	0.000556041	0.003133247	0.00000883	0	0	0.000211825	0	0	0
X16SSJ652	0.132349494	0.318401705	0.006350559	0.0000107	0.000213106	0	0	0.0000639	0.352765051	0.007831646	0	0.00052211	0	0.000106553	0.000415557	0	0	0.0000533	0.000245072	0.003601492	0.000287693	0.001310602	0	0.000127864	0.0000426	0.011102824	0	0.00052211	0	0	0	0.0000639	0	0	0	0	0	0.00337773	0	0.013137986	0	0	0	0.001981886	0	0	0.024592435	0.107511987	0	0.0000213	0.005274374	0.000575386	0	0	0	0.006904635	0.000170485	0	0	0	0.0000639	0	0	0
X16SSJ752	0.192599588	0.317513736	0.001734203	0	0.000171703	0.0000172	0	0	0.327232143	0.000360577	0	0.000120192	0	0	0.000291896	0	0	0	0.000309066	0.00573489	0.0000687	0.001425137	0	0.0000687	0.0000515	0.023300137	0	0.000223214	0	0	0	0	0	0	0	0	0	0.002884615	0	0.018372253	0	0	0	0.002335165	0.0000343	0	0.033688187	0.05935783	0	0	0.004481456	0.0000687	0	0	0	0.007503434	0.0000343	0	0	0	0.0000172	0	0	0
X16SBV952	0.286340467	0.314286281	0.009817727	0.000297507	0.000119003	0.000515679	0.001071025	0	0.021321327	0.003966759	0	0.000694183	0.0000198	0.000535512	0.001428033	0	0	0	0.007536841	0.142109126	0.0000397	0.001487534	0	0.0000992	0.000436343	0.013189472	0.0000198	0.0000595	0	0.001487534	0.000119003	0.000912354	0.0000198	0.000119003	0	0	0.0000397	0.003332077	0.0000992	0.009678891	0.0000198	0	0.00015867	0.003014737	0.011939943	0.0000595	0.017473571	0.129732839	0	0.00130903	0.008508697	0.0000793	0	0.0000793	0.0000595	0.001527202	0.0000397	0.00073385	0.0000793	0.003728753	0.00015867	0	0	0.0000992
X16SBV852	0.2629575	0.315439234	0.009707406	0.000497376	0	0.000565979	0.001320619	0	0.019603471	0.002949954	0.0000172	0.000857545	0.0000858	0.000411621	0.002418276	0	0.0000172	0	0.012828868	0.133108085	0.0000172	0.001183412	0.0000172	0	0.000480225	0.016293349	0.000102905	0.0000172	0.0000172	0.001697938	0.000360169	0.000600281	0.000120056	0.000137207	0.0000172	0	0.000102905	0.002263918	0.0000172	0.004699345	0.0000172	0.0000515	0.000205811	0.003104312	0.012211436	0.0000858	0.022467671	0.154906871	0	0.000857545	0.009844613	0.0000515	0	0.000102905	0.0000172	0.001577882	0.0000172	0.000617432	0.000102905	0.002675539	0.0000858	0	0	0.0000686
X16SQU952	0.309554882	0.348004547	0.001992647	0.000343802	0.000210491	0.0000421	0.000266622	0.0000281	0.213613146	0.000413965	0	0.000140327	0	0.0000351	0.000140327	0	0	0	0.00223822	0.01143667	0.0000842	0.009093205	0	0.0000631	0.000413965	0.006939182	0	0.000168393	0	0	0	0.000105245	0	0	0	0.00000702	0	0.003241559	0.00000702	0.000449047	0	0.00000702	0	0.001164716	0.004125621	0	0.022312032	0.054874968	0	0.0000842	0.003466083	0.00000702	0	0	0	0.004736044	0.0000351	0.000112262	0	0	0.0000421	0	0	0
X16SQU652	0.313913117	0.334778559	0.001490389	0.0000169	0.0000339	0.0000847	0.000220171	0	0.21974765	0.001405708	0	0.00027098	0	0.0000508	0.000508087	0	0	0.0000169	0.002404945	0.009738335	0.0000677	0.003251757	0	0.0000339	0.000440342	0.003844525	0	0.000389533	0	0	0	0.000254044	0	0	0	0	0	0.003065459	0.0000847	0.003387247	0	0.0000169	0	0.001507325	0.003590482	0	0.012058599	0.068608688	0	0.000152426	0.004979253	0.000152426	0	0	0	0.009247184	0.0000847	0.0000847	0	0	0.0000169	0	0	0
X16SQU852	0.306995628	0.309114236	0.004389149	0.000236339	0.000151932	0.000101288	0.00037983	0.00000844	0.247674595	0.000928474	0	0.000362949	0	0.000135051	0.000616169	0	0	0	0.004397589	0.017598798	0.0000844	0.006963553	0	0.000109729	0.000692135	0.005680571	0	0.000329186	0	0	0	0.000270101	0	0	0	0.00000844	0	0.002582845	0.0000253	0.000438915	0	0.0000169	0	0.001949795	0.003705454	0	0.027854213	0.047056738	0	0.000076	0.004009319	0.0000422	0	0	0	0.004735216	0.0000422	0.000151932	0	0.0000253	0.0000591	0	0	0
X16SQU52	0.049287231	0.070329087	0.00022748	0.00022748	0.0000379	0.000303306	0.0000379	0.000834092	0.13478162	0.124241735	0	0.000303306	0	0.00011374	0.001175311	0	0	0.0000758	0.002047316	0.012018502	0.001326964	0.003222627	0	0.000265393	0.000341219	0.202532605	0	0.003184713	0	0	0	0.002388535	0	0.0000379	0	0	0	0.003184713	0.0000758	0.011260237	0.0000758	0	0	0.000606612	0	0	0.090612678	0.270169851	0.000189566	0	0.004094631	0.002236882	0.000189566	0.0000379	0	0.002957234	0.004208371	0.0000758	0	0.000492872	0.000189566	0	0	0
X16SQU752	0.307554481	0.32809992	0.002657768	0.0000896	0.00031729	0.0000747	0.000197839	0.00000747	0.247108931	0.000925739	0	0.000272496	0	0.0000709	0.00041061	0	0	0.00000373	0.001929868	0.011284314	0.0000635	0.007006503	0	0.0000784	0.000548724	0.002836943	0	0.000197839	0	0	0	0.000164244	0	0	0	0.00000373	0	0.004038911	0.0000336	0.000586053	0.00000373	0.00000373	0	0.001679769	0.005580565	0	0.014666249	0.053980306	0	0.0000336	0.003508851	0.0000149	0	0.00000373	0	0.003661896	0.0000261	0.000197839	0	0.0000112	0.0000635	0	0	0
X16SSJ452	0.122447119	0.320113056	0.006199854	0	0.0000912	0	0	0	0.425419402	0.003099927	0	0.000273523	0	0.0000912	0	0	0	0	0.000273523	0.000455872	0.000273523	0.001185266	0	0.0000912	0	0.002644055	0	0.001002918	0	0	0	0	0	0	0	0	0	0.002279358	0	0.01285558	0	0	0	0.001185266	0	0	0.019055434	0.072027717	0	0	0.004102845	0.000547046	0	0	0	0.004194019	0	0	0	0	0.0000912	0	0	0
X16SSJ852	0.093463894	0.275177348	0.001879585	0	0.0000606	0	0	0	0.410750015	0.000242527	0	0.000181895	0	0	0.0000909	0	0	0	0.000333475	0.010580246	0.0000303	0.00154611	0	0.0000303	0.0000303	0.005881283	0	0.000272843	0	0	0	0	0	0	0	0	0	0.002970957	0	0.006336021	0	0	0	0.002758746	0.001424847	0	0.04744437	0.096313588	0	0	0.006426969	0.0000606	0	0	0	0.035681804	0.0000303	0	0	0	0	0	0	0
X16SSJ952	0.637006803	0.358820862	0	0	0	0	0	0	0.001088435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000634921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002086168	0.000272109	0	0	0.0000907	0	0	0	0	0	0	0	0	0	0	0	0	0
